timestamp,P2
53:30.1,11.17
58:30.1,8.47
03:30.7,8.13
08:30.8,8.2
13:31.8,8.2
18:33.3,7.5
23:33.0,6.93
28:34.0,5.73
33:34.1,5.87
38:34.5,6.17
43:35.5,6.93
48:35.6,7.07
53:37.1,5.9
58:37.5,5.6
03:37.3,6.13
08:38.0,6.93
13:38.8,9.43
18:37.9,6.8
23:38.5,7.03
28:40.3,6
33:40.3,5.73
38:39.9,8.37
43:39.8,8.3
48:39.6,7.93
53:40.8,7.3
58:40.5,7
03:41.5,6.4
08:42.0,6.8
13:42.1,8.13
18:42.1,9.77
23:42.4,7.33
28:42.5,8.7
33:43.2,9.4
38:43.9,9
43:44.2,8.7
48:44.2,7.73
53:45.0,8.87
58:44.4,8.4
03:44.6,11
08:45.3,12.3
13:45.6,14.3
18:47.2,31.7
23:47.2,16.5
28:48.2,66.43
33:48.4,18.57
38:48.8,15.07
43:50.4,17.3
48:50.8,14.47
53:50.9,10.5
58:51.3,11.27
03:51.9,10.43
08:52.2,9.3
13:52.9,7.97
18:53.2,13.53
23:53.9,12.33
28:54.4,15.97
33:54.7,9.4
38:55.6,8.3
43:56.3,9.07
48:56.4,7.7
53:56.4,8.6
58:56.2,7.78
03:56.3,8.77
08:55.7,6.82
13:57.1,7.1
18:58.0,7.78
23:57.9,6.32
28:58.5,6.68
33:57.7,8.75
38:58.3,6.53
43:59.8,7.78
49:02.0,9.27
54:01.7,7.9
59:01.5,7.28
04:03.0,7.87
09:03.1,7.47
14:03.9,8
19:04.1,9.02
24:04.5,10.25
29:05.8,8.6
34:06.6,9.35
39:07.3,9
44:08.0,9.32
49:08.5,8.55
54:09.0,19.25
59:10.1,11.5
04:11.5,19.85
09:11.5,9.1
14:11.6,9.4
19:12.2,8.05
24:13.1,7.32
29:14.1,8.85
34:15.0,10.3
39:16.0,9.3
44:17.1,9.18
49:17.1,7.87
54:18.1,8.1
59:18.9,8.07
04:18.9,9
09:19.3,10.05
14:20.5,7.03
19:20.8,7.53
24:20.9,11.73
29:20.8,6.78
34:21.0,8.02
39:21.0,6.97
44:21.2,5.53
49:22.1,9.9
54:22.9,6.82
59:23.8,6.9
04:24.5,7.6
09:24.8,7.25
14:24.8,6.12
19:25.1,6.87
24:25.0,7.25
29:25.1,10.25
34:24.3,14.2
39:23.6,7.75
44:23.3,6.6
49:22.5,6.07
54:22.6,6.53
59:21.8,10.85
04:21.9,7.93
09:22.0,7.03
14:21.2,7.53
19:21.9,7.37
24:21.8,7.57
29:23.0,8.07
49:11.9,9
54:16.3,7.3
59:40.9,7.72
04:54.1,7.57
09:54.2,7.78
14:53.5,8.3
19:52.9,9.27
24:52.4,7.68
29:52.5,27.6
34:52.8,20.4
39:52.5,11.73
44:51.1,11.68
49:50.5,10.55
54:49.8,10.57
59:50.2,11.82
04:49.6,15.02
09:49.5,11.38
14:49.8,9.55
19:49.1,10.4
24:48.5,20.7
29:48.0,16.23
34:47.1,16.77
39:45.7,21.25
44:45.5,16.27
49:44.9,15.6
54:44.5,27.52
59:45.5,21.67
04:45.2,11.38
09:45.9,74.95
14:45.6,17.33
19:45.4,15.2
24:45.5,32.97
29:45.6,28.23
34:46.3,23.07
39:46.1,29.52
44:46.0,21.5
49:45.8,19.6
54:46.1,29.2
59:47.7,18.92
04:48.1,17.77
09:48.7,17.1
14:49.7,31.83
19:49.6,24.92
24:49.6,18.42
29:50.4,18.42
34:51.4,13.75
39:52.2,18.6
44:52.2,19.05
49:51.9,14.33
54:52.8,16.43
59:53.0,17.05
04:53.5,15.23
09:54.1,12.13
14:54.4,12.7
19:52.9,10.83
24:53.3,14.67
29:52.1,13.57
34:51.5,15.43
39:51.6,13.83
44:52.2,10.03
49:52.2,10.3
54:52.5,9.53
59:53.2,9.3
04:52.5,7.77
09:52.1,7.33
14:51.9,7.2
19:52.6,8.33
24:54.0,9.15
29:54.3,8.2
34:55.6,8.8
39:56.4,8.93
44:57.1,11.1
49:57.3,8.07
54:58.3,7.13
59:58.7,8.17
04:58.6,8.73
09:59.6,6.6
15:00.3,6.77
20:01.0,10.7
25:02.7,8.17
30:03.2,7.4
35:04.1,6.5
40:04.7,9.7
45:05.2,8.57
50:05.6,8.37
55:06.1,8.1
00:07.0,44.67
05:07.0,16.6
10:06.5,8.2
15:06.5,8.87
20:07.0,7.83
25:06.9,6.2
30:06.6,6.8
35:06.4,8
40:06.8,8.67
45:06.4,7.15
50:06.4,4.7
55:06.0,4.3
00:07.1,7.8
05:08.1,8.5
10:09.7,6.33
15:10.5,5.4
20:11.5,4.13
25:11.6,6.1
30:11.5,4.47
35:11.2,5.7
40:11.1,5.37
45:11.2,4.1
50:11.6,4.2
55:11.5,4.13
